"Rank","Song","Artist","Year","Lyrics","Source"
1,"wooly bully","sam the sham and the pharaohs",1965,"sam the sham miscellaneous wooly bully wooly bully sam the sham  the pharaohs  domingo samudio uno dos one two tres quatro matty told hatty about a thing she saw had two big horns and a wooly jaw wooly bully wooly bully wooly bully wooly bully wooly bully hatty told matty lets dont take no chance lets not belseven come and learn to dance wooly bully wooly bully wooly bully wooly bully wooly bully matty told hatty thats the thing to do get you someone really to pull the wool with you wooly bully wooly bully wooly bully wooly bully wooly bully lseven  the letter l and the number 7 when typed they form a rough square l7 so the lyrics mean lets not be square",3
2,"i cant help myself sugar pie honey bunch","four tops",1965," sugar pie honey bunch you know that i love you i cant help myself i love you and nobody elsein and out my life you come and you go leaving just your picture behind and i kissed it a thousand timeswhen you snap your finger or wink your eye i come arunning to you im tied to your apron strings and theres nothing that i can docant help myself no i cant help myselfsugar pie honey bunch im weaker than a man should be i cant help myself im a fool in love you seewanna tell you i dont love you tell you that were through and ive tried but every time i see your face i get all choked up insidewhen i call your name girl it starts the flame burning in my heart tearing it all apart no matter how i try my love i cannot hidecause sugar pie honey bunch you know that im weak for you cant help myself i love you and nobody elsesugar pie honey bunch do anything you ask me to cant help myself i want you and nobody elsesugar pie honey bunch you know that i love you i cant help myself i cant help myself ",1
3,"i cant get no satisfaction","the rolling stones",1965,"  ",1
4,"you were on my mind","we five",1965," when i woke up this morning you were on my mind and you were on my mind i got troubles whoaoh i got worries whoaoh i got wounds to bind so i went to the corner just to ease my pains yeah just to ease my pains i got troubles whoaoh i got worries whoaoh i came home again when i woke up this morning you were on my miiiind and you were on my mind i got troubles whoaoh i got worries whoaoh i got wounds to bind and i got a feelin down in my shooooooes said way down in my shooooes yeah i got to ramble whoaoh i got to move on whoaoh i got to walk away my blues when i woke up this morning you were on my mind you were on my mind i got troubles whoaoh i got worries whoaoh i got wounds to bind ",1
5,"youve lost that lovin feelin","the righteous brothers",1965," you never close your eyes anymore when i kiss your lips and theres no tenderness like before in your fingertips youre trying hard not to show it but baby baby i know ityou lost that lovin feelin whoa that lovin feelin you lost that lovin feelin now its gone gone gone wohnow theres no welcome look in your eyes when i reach for you and now youre starting to criticize little things i do it makes me just feel like crying cause baby something beautifuls dyinyou lost that lovin feelin whoa that lovin feelin you lost that lovin feelin now its gone gone gone wohbaby baby id get down on my knees for you if you would only love me like you used to do yeah we had a love a love a love you dont find everyday so dont dont dont dont let it slip awaybaby baby baby baby i beg you please please please please i need your love need your love i need your love i need your love so bring it on back so bring it on back bring it on back bring it on backbring back that lovin feelin whoa that lovin feelin bring back that lovin feelin cause its gone gone gone and i cant go on wohbring back that lovin feelin whoa that lovin feelin bring back that lovin feelin cause its gone gone gone ",1
6,"downtown","petula clark",1965," when youre alone and life is making you lonely you can always go downtown when youve got worries all the noise and the hurry seems to help i know downtownjust listen to the music of the traffic in the city linger on the sidewalk where the neon signs are pretty how can you lose the lights are much brighter there you can forget all your troubles forget all your caresso go downtown things will be great when youre downtown no finer place for sure downtown every things waiting for youdont hang around and let your problems surround you there are movie shows downtown maybe you know some little places to go to where they never close downtownjust listen to the rhythm of a gentle bossa nova youll be dancing with em too before the night is over happy again the lights are much brighter there you can forget all your troubles forget all your caresso go downtown where all the lights are bright downtown waiting for you tonight downtown youre gonna be alright nowdowntownand you may find somebody kind to help and understand you someone who is just like you and needs a gentle hand to guide them along so maybe ill see you there we can forget all our troubles forget all our caresso go downtown things will be great when youre downtown dont wait a minute more downtown everything is waiting for you downtown downtown downtown downtown ",1
7,"help","the beatles",1965,"help i need somebody help not just anybody help you know i need someone help when i was younger so much younger than today i never needed anybodys help in any way but now these days are gone im not so selfassured now i find ive changed my mind and opened up the doors help me if you can im feeling down and i do appreciate you being round help me get my feet back on the ground wont you please please help me and now my life has changed in oh so many ways my independence seems to vanish in the haze but every now and then i feel so insecure i know that i just need you like ive never done before help me if you can im feeling down and i do appreciate you being round help me get my feet back on the ground wont you please please help me when i was younger so much younger than today i never needed anybodys help in any way but now these days are gone im not so selfassured now i find ive changed my mind ive opened up the doors help me if you can im feeling down and i do appreciate you being round help me get my feet back on the ground wont you please please help me help me help me ooo",3
8,"cant you hear my heart beat","hermans hermits",1965,"carterlewis every time i see you lookin my way baby baby cant you hear my heartbeat in the car or walking down the highway baby baby cant you hear my heartbeat when you move up closer to me i get a feelin thats ooowee cant you hear the poundin of my heartbeat cause youre the one i love youre the one i love when i feel you put your arms around me baby baby cant you hear my heartbeat then im glad im mighty glad i found you baby baby cant you hear my heartbeat when you asked me to meet your ma i knew that baby wed be going far cant you hear the poundin of my heartbeat cause youre the one i love youre the one i love  rhythm guitar  all my friends are cryin out to meet you baby baby cant you hear my heartbeat nows the time to go and see the preacher baby baby cant you hear my heartbeat wedding bells are gonna chime baby baby youre gonna be mine cant you hear the poundin of my heartbeat cause youre the one i love youre the one i love baby baby cant you hear my heartbeat baby baby cant you hear my heartbeat baby baby cant you hear my heartbeat",5
9,"crying in the chapel","elvis presley",1965," you saw me crying in the chapel the tears i shed were tears of joy i know the meaning of contentment i am happy with the lordjust a plain and simple chapel where all bumble people go to pray i prayed the lord that ill grow stronger as i live from day to dayi searched i searched and i searched i searched but i couldnt find no way on earth to gain peace of mindnow im happy in the chapel where people are of one accord one accord yes we gather in the chapel just to sing and praise the lordyoull search and youll search but youll never find no way on earth to find peace of mindtake your troubles to the chapel get down on your knees and pray then your burdens will be lighter and youll surely find the way and youll surely find the way ",1
10,"my girl","the temptations",1965,"ive got sunshine on a cloudy day when its cold outside ive got the moth of may well i guess you say what can make me feel this way my girl talkin bout my girl my girl ive got so much honey the bees envy me ive got a sweeter song than the birds in the trees well i guess you say what can make me feel this way my girl talkin bout my girl my girl i dont need no money fortune or fame i got all the riches baby one man can claim well i guess you say what can make me feel this way my girl talkin bout my girl my girl i got sunshine on a cloudy day with my girl ive even got the month of may with my girl talkin bout talkin bout my girl my girl all i can talk about is my girl my girl",3
